"","Date","COD.in","sCOD.in","COD.out","sCOD.out","Time","COD.out.M"
"1",2018-09-27,NaN,NaN,NaN,NaN,1,NaN
"2",2018-10-03,458,458,11.5,11.5,7,-8.2
"3",2018-10-10,230,230,6.5,6.5,14,9.8
"4",2018-10-18,518,518,10.5,10.5,22,-0.7
"5",2018-10-25,327,327,40.5,40.5,29,22.8
"6",2018-11-01,570,570,24,24,36,16.8
"7",2018-11-07,505,505,15,15,42,33.3
"8",2018-11-21,205,205,70,70,56,69.3
"9",2018-11-28,261,261,55,55,63,54.5
"10",2018-12-15,NaN,NaN,NaN,NaN,80,NaN
"11",2019-01-15,924.5,924.5,256,256,111,76.8504538332776
"12",2019-01-22,494,494,352.5,352.5,118,329.8
"13",2019-01-30,219,219,147,147,126,-3.89095774950977
"14",2019-02-07,255,255,102,102,134,-1.55062995738536
"15",2019-02-12,262.5,262.5,85,85,139,97.8730067135278
"16",2019-02-26,299,299,32,32,153,52.7
"17",2019-03-07,425,425,98,98,162,57.6314659445374
"18",2019-03-12,301.5,252,83,62.5,167,28.2556099472988
