,time,TN_Avg
1,1,50
2,10080,NA
3,20160,62.5
4,31680,79
5,41760,166
6,51840,106
7,60480,205
8,80640,139
9,90720,148.5
10,123840,120.5
11,133920,81
12,145440,144
13,156960,179
14,164160,160
15,184320,210
16,197280,220
17,204480,205
18,214560,198
19,224640,224
20,234720,241
21,247680,225
22,254880,245
23,266400,230
24,285120,300
25,296640,300
26,305280,365
27,315360,NA
28,325440,320
29,335520,320
30,347040,282.5
31,355680,331.12
32,367200,370.775
33,377280,376.955
34,385920,345.025
35,397440,308.975
36,416160,NA
37,437760,375
38,446400,280
39,456480,275
40,466560,265
41,478080,280
42,488160,340
43,496800,340
44,506880,250
45,516960,370
46,528480,450
47,538560,334
48,548640,390
49,558720,32
50,567360,380
51,577440,490
52,668160,525
53,678240,505
54,688320,380
55,699840,290
56,708480,270
57,728640,252
