,time,TN_Avg
1,1,0
2,10080,NA
3,20160,0
4,31680,0
5,41760,0
6,51840,3
7,60480,3.5
8,80640,1.85
9,90720,3.5
10,123840,8
11,133920,1.3
12,145440,2.25
13,156960,3.25
14,164160,10
15,184320,0.25
16,197280,2.65
17,204480,1.75
18,214560,1.95
19,224640,1.8
20,234720,0.35
21,247680,2
22,254880,4.95
23,266400,5.85
24,285120,45.5
25,296640,92.5
26,305280,93
27,315360,NA
28,325440,133.5
29,335520,170
30,347040,158
31,355680,187.1775
32,367200,198.25
33,377280,229.4075
34,385920,283.225
35,397440,262.625
36,416160,NA
37,437760,270
38,446400,220
39,456480,100
40,466560,77.5
41,478080,67.5
42,488160,59.25
43,496800,49.5
44,506880,43
45,516960,46
46,528480,57
47,538560,32.5
48,548640,119.5
49,558720,32.5
50,567360,214
51,577440,279
52,668160,159
53,678240,41
54,688320,11
55,699840,0
56,708480,2.8
57,728640,3.5
